id,userId,sport,gender,dur_min,alt_range,max_alt,total_ascent,total_descent,n_climbs,n_points,avg_hr,max_hr,has_speed,lat,lon,date,DI,FI,RI,ReI
316551625,4969375,run,male,91.1,274.0,295.2,233.0,455.8,0,500,157.7,249,1,52.2,6.9,2014-04-01,0.9292,1.0237,,
275885196,4969375,run,male,95.2,244.6,141.4,246.0,336.4,1,500,147.7,247,1,52.2,6.9,2013-12-10,1.1158,1.0486,,
111530739,4969375,run,male,95.7,253.2,275.0,105.8,331.2,0,500,148.7,191,1,52.2,6.9,2012-12-05,0.9893,0.9885,,
108018046,4969375,run,male,169.7,278.4,275.6,444.6,457.8,1,500,131.4,176,1,52.2,6.9,2012-11-17,1.0095,0.8829,,
379577260,430859,bike,male,168.1,206.6,207.8,335.2,285.2,1,500,135.2,161,1,43.9,10.6,2014-07-26,0.8679,1.1923,,
361212294,430859,bike,male,162.4,291.8,297.4,545.2,546.8,2,500,131.9,160,1,43.9,10.6,2014-06-22,1.1261,0.913,0.9295,
355085065,430859,bike,male,203.5,201.8,227.6,381.2,380.4,2,500,140.4,159,1,43.9,10.6,2014-06-10,1.0543,1.028,0.9196,
321450940,430859,bike,male,90.2,341.2,345.6,333.6,341.2,1,500,130.9,158,1,43.9,10.6,2014-04-10,0.4536,0.9927,,
320916839,430859,bike,male,132.3,202.2,214.0,406.4,403.4,2,500,129.3,166,1,43.9,10.6,2014-04-08,0.7503,1.1685,0.7967,
315279021,430859,bike,male,206.1,229.6,231.8,679.2,679.2,2,500,137.7,164,1,43.9,10.6,2014-03-29,0.9809,0.9009,0.63,
102782412,430859,bike,male,162.1,274.0,285.8,471.8,463.8,2,500,120.8,162,1,43.8,10.5,2012-10-24,0.5937,1.2562,1.1911,
102421616,430859,bike,male,157.6,220.8,234.0,830.0,829.8,3,500,122.3,152,1,43.8,10.5,2012-10-23,1.0154,0.9856,1.0851,
101132114,430859,bike,male,188.0,437.0,450.2,1152.2,1152.2,3,500,129.6,158,1,43.8,10.5,2012-10-18,0.6789,1.2856,1.2301,
100914633,430859,mountain bike,male,138.7,216.2,192.4,469.2,469.2,1,500,112.5,150,1,43.8,10.5,2012-10-17,0.6366,1.701,,
99904437,430859,bike,male,219.6,231.6,233.6,971.8,971.8,2,500,128.0,160,1,43.8,10.5,2012-10-13,1.0338,0.902,1.1096,
99432973,430859,bike,male,153.7,234.8,244.8,650.0,651.2,3,500,124.5,159,1,43.8,10.5,2012-10-11,0.906,0.9026,0.7806,
97845969,430859,bike,male,201.1,231.0,233.2,757.0,756.8,2,500,121.9,151,1,43.8,10.5,2012-10-05,1.0401,1.0107,0.7284,
96237881,430859,bike,male,137.7,211.4,221.8,571.2,571.2,3,500,121.7,151,1,43.8,10.5,2012-09-29,0.9174,1.0553,0.6364,
96043797,430859,bike,male,184.0,214.6,222.4,691.0,690.8,3,500,114.0,140,1,43.8,10.5,2012-09-28,0.8324,1.0665,0.6626,
95114436,430859,bike,male,189.2,210.4,219.6,745.4,745.4,4,500,121.3,151,1,43.8,10.5,2012-09-25,0.9574,1.0634,0.8141,
92149331,430859,bike,male,188.8,438.4,451.8,1166.8,1167.0,2,500,120.2,158,1,43.8,10.5,2012-09-15,0.6637,1.298,0.755,
91247016,430859,bike,male,109.6,211.8,220.8,565.8,566.2,3,500,110.3,142,1,43.8,10.5,2012-09-12,0.9941,0.9933,0.767,
90111181,430859,bike,male,281.1,231.0,231.2,806.8,806.2,3,500,101.4,139,1,43.8,10.5,2012-09-08,0.8162,1.2132,0.6214,
89353214,430859,bike,male,253.7,221.2,219.6,694.2,693.6,1,500,111.1,141,1,43.8,10.5,2012-09-06,1.0342,0.9896,,
88995174,430859,bike,male,157.8,229.6,231.6,800.0,799.4,3,500,117.8,146,1,43.8,10.5,2012-09-05,0.7375,1.2837,0.9332,
87124066,430859,bike,male,277.2,348.8,347.6,1182.0,1181.4,3,500,115.0,152,1,43.8,10.5,2012-08-30,0.9882,0.8368,0.5223,
83239320,430859,bike,male,217.0,808.2,806.2,1198.4,1198.0,1,500,118.8,163,1,43.8,10.5,2012-08-19,0.3438,2.6499,,
82934139,430859,bike,male,187.0,230.2,232.6,687.0,686.8,2,496,104.9,146,1,43.8,10.5,2012-08-18,0.9547,1.0081,0.77,
80757675,430859,bike,male,242.9,562.8,565.2,1548.6,1548.6,4,499,119.5,151,1,43.8,10.5,2012-08-12,1.0879,0.9399,0.511,
79244178,430859,bike,male,286.0,579.4,589.2,1334.4,1334.4,3,500,119.5,193,1,43.8,10.5,2012-08-07,0.787,1.125,0.5944,
78735685,430859,bike,male,202.8,231.2,233.4,912.2,912.0,3,499,122.6,149,1,43.8,10.5,2012-08-06,0.9692,1.1025,0.7442,
77478740,430859,bike,male,270.4,250.2,256.2,422.0,414.0,2,499,111.5,145,1,43.8,10.5,2012-08-02,0.8604,1.1156,1.1831,
76803662,430859,bike,male,261.6,231.4,233.8,621.2,621.2,1,496,110.3,149,1,43.8,10.5,2012-07-31,1.0595,1.2223,,
75242011,430859,bike,male,136.2,220.2,229.8,563.4,563.2,2,499,109.2,142,1,43.8,10.5,2012-07-26,1.2024,0.7856,0.8052,
74580470,430859,bike,male,331.2,364.8,364.2,1212.0,1212.0,4,498,119.0,147,1,43.8,10.5,2012-07-24,0.9292,1.1307,0.9908,
73892436,430859,bike,male,149.4,340.0,347.6,669.2,669.0,2,499,117.1,152,1,43.8,10.5,2012-07-22,0.5731,1.4505,0.667,
73327880,430859,bike,male,177.6,389.8,401.4,648.8,646.6,2,499,118.4,153,1,43.8,10.5,2012-07-20,0.6282,1.594,0.8093,
71606981,430859,bike,male,248.5,438.2,451.4,1240.8,1240.8,2,497,120.5,154,1,43.8,10.5,2012-07-14,0.7255,1.2832,0.7755,
71371960,430859,bike,male,319.4,515.4,526.0,1459.0,1459.0,3,497,113.9,141,1,43.8,10.5,2012-07-13,0.9387,1.0793,0.8203,
69583173,430859,bike,male,185.7,795.0,804.6,1207.2,1207.0,1,499,126.5,151,1,43.8,10.5,2012-07-07,0.6323,1.8764,,
